.,Charact.,Unit,FIREBall-2 2025,FIREBall-2 2018,FIREBall-1,UVEX FUV,UVEX NUV,SCWI,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,ISTOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,SUMIRE PFS Blue,VLT MOONS,MOSAIC,EUCLID vis,MESSIER nuv,UVEX fuv,UVEX nuv,GALEX fuv,GALEX nuv
Instrum. design,wavelength,nm,202.0,200.0,200.0,160.0,230.0,200.0,104.0,150.0,152.8,227.0,150.0,200.0,200.0,250.0,450.0,700.0,450.0,600.0,600.0,700.0,700.0,1000.0,1000.0,1000.0,2.18,500.0,800.0,600.0,1000.0,200.0,115.0,275.0,153.0,227.0
nan,Spectro description,.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,dimensions,.,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
nan,FOV_size,amin2,648.0,648.0,16.0,44100.0,44100.0,4.0,60.0,3600.0,4608.0,4464.0,4.8,900.0,6.73,289.0,0.05,0.05,2.0,0.003,0.016,1.0,0.02,1983.19,0.03,284760.0,360000.0,6084.0,500.0,40.0,1983.19,28000.0,44100.0,44100.0,4608.0,4464.0
nan,Bandpass,nm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pixel_scale,"""/pix",1.1,1.1,1.1,1.03,1.03,1.1,45.026,148.0,1.5,1.5,0.33,10.0,0.1,0.4,0.147,0.147,0.2,0.1,0.004,0.2,0.025,0.3,0.012,6.2,8.6,0.939,0.5,0.25,0.1,1.0,1.03,1.03,1.5,1.5
Spectro design,Mode,.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,Bandwidth,Å,160.0,160.0,160.0,1500.0,1500.0,160.0,50.0,1420.0,400.0,1050.0,1000.0,1200.0,1500.0,1700.0,2100.0,5200.0,2300.0,279000.0,5500.0,4650.0,4650.0,2920.0,7000.0,16700.0,24.0,2700.0,12000.0,2500.0,nan,nan,nan,nan,nan,nan
nan,Spectral_resolution,λ/dλ,1300.0,1300.0,5000.0,1600.0,3500.0,2000.0,2000.0,75.0,200.0,90.0,8000.0,2500.0,1500.0,1000.0,18000.0,5600.0,4000.0,2700.0,3500.0,3000.0,3000.0,380.0,350.0,41.0,50.0,2300.0,1000.0,4000.0,nan,nan,nan,nan,nan,nan
nan,Slitwidth,"""",4.0,6.0,8.0,2.0,2.0,5.0,60.0,90.0,3600.0,3600.0,3.0,10.0,0.2,2.0,0.35,0.35,0.2,0.1,0.03,0.2,0.025,42.0,0.1,12600.0,2160000.0,1.1,1.2,3.0,nan,nan,nan,nan,nan,nan
nan,Slitlength,"""",25.0,25.0,8.0,3600.0,3600.0,120.0,3600.0,432.0,3600.0,3600.0,5.0,240.0,20.0,360.0,20.4,20.4,84.0,3.0,0.06,60.0,7.5,42.0,11.0,81360.0,2160000.0,1.1,1.2,3.0,nan,nan,nan,nan,nan,nan
nan,dispersion,Å/pix,0.21,0.21,0.18,0.38,0.38,0.21,0.53,1.0,2.5,6.06,0.04,0.4,1.4,0.42,0.1,0.2,0.4,14.29,0.69,0.4,0.4,13.0,11.0,4.18,0.02,0.7,0.35,0.63,nan,nan,nan,nan,nan,nan
Telescope,Name,.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,Altitude,km,35.0,35.0,35.0,1000.0,1000.0,35.0,450.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,4.0,4.0,3.0,1000.0,3.0,3.0,3.0,1000.0,3.0,1000.0,250.0,4.0,3.0,3.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
nan,Collecting_area,m2,0.707,0.785,0.79,0.442,0.442,0.196,0.00254,0.001,0.196,0.196,176.0,0.196,0.78,1.77,78.5,78.5,52.81,34.21,1195.0,52.81,52.81,1.13,52.81,0.031,0.035,52.81,52.81,1195.0,1.131,0.78,0.442,0.442,0.196,0.196
nan,Atmosphere,%/100,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.92,0.9,0.9,1.0,0.92,1.0,1.0,0.9,0.9,0.92,1.0,1.0,1.0,1.0,1.0,1.0
nan,Sky,"erg/cm2/s/""2/Å",2e-18,4.6e-16,2e-18,2e-17,2e-17,2e-18,1e-18,1e-18,2e-18,2e-18,2e-17,1e-18,1e-18,1e-18,1.76e-17,1.13e-17,1.13e-17,3e-17,5e-18,1.13e-17,1.13e-17,1e-18,1.5e-17,1e-18,2e-18,1.7e-17,1.13e-17,5e-18,1e-18,1e-18,2e-17,2e-17,2e-18,2e-18
Obs. Startegy,Name,.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,Signal,"erg/cm2/s/""2/Å",6.2e-17,6.2e-17,1.1e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17,6.2e-17
nan,Redshift,.,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
