.,Charact.,Unit,SCWI SPEC,SCWI EMCCD,SCWI Skipper,SCWI CMOS,SCWI MCP,SCWI MIN REQ,SCWI PERF,"ISTOS
DEEP",FIREBall-2 2025,FIREBall-2 2018,FIREBall-1,UVEX FUV,UVEX NUV,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,POLLUX,ARAGO,CASSTOR,LUMOS-MOS,LUMOS-POINT,LUMOS-IFS,HUBBLE-COS,HUBBLE-STIS,SUMIRE PFS Blue,VLT MOONS,MOSAIC,EUCLID vis,MESSIER nuv,UVEX fuv,UVEX nuv,GALEX fuv,GALEX nuv
Type,Type,.,ULDB,ULDB,ULDB,ULDB,ULDB,ULDB,ULDB,IFS,Balloon,,,MIDEX,MIDEX,CubeSat,Orbiter,MIDEX,MIDEX,Flagship,Flagship,Proble,Ground,Ground,Ground,Flagship,Ground,Ground,Ground,M-class,Ground,SMEX,Suborbital,Flagship,M8,16U cube sat,Flagship,Flagship,Flagship,,,Ground,Ground,Ground,,,MIDEX,MIDEX,MIDEX,MIDEX
,focal_length,.,,,,,,,,16/800,2.5,2.5,,,,?,,,,,,,,,,,,,,25,,3,13.9,,,,26,26,26,57.6m,57.6m,,,,,,,,,
,Launch_date,.,2030?,2030?,2030?,2030?,2030?,2030?,2030?,?,2018,,,~2030,~2030,2025,2011,2003,2003,2040?,~2040,2035?,2023,2017,~2030,2023,2030?,2014,2014,2023,2011,2024,2022,2040,2032?,2028?,2040,2040,2040,2009,1997,2025,2025,2032?,,,~2030,~2030,2003,2003
Instrum. design,Spectro description,.,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Multi slit,Multi slit,Fibers,Long slit,Long slit,Grating,Slit,Slitless,Slitless,MOS,DMD MOS,MSA MOS,Slicer,Slicer,Slicer,IFU,Slicer,Slicer,Slicer,Slit less,Long slit,Lin. var filters,Slitless,Spectro-pollarimeter,Spectro-pollarimeter,Spectro-pollarimeter,MOS,Point source,IFS,Pin Hole,Slit,Fibers MOS,fibers MOS,Fibers MOS VIS,Imager,Imager,Long slit,Long slit,Slitless,Slitless
,wavelength,nm,205,205,205,205,205,205,205,200,200,200,200,160,230,104,150,152.8,227,150,200,250,450,700,450,600,600,700,700,1000,1000,1000,2.18,168.5,543.5,168.5,168.5,150,250,205,572.5,500,800,600,1000,200,115,275,153,227
,dimensions,.,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2
,FOV_size,amin2,4.00,4.00,4.00,4.00,4.00,4.00,4.00,900.00,648.00,648.00,16.00,44100.00,44100.00,60.00,3600.00,4608.00,4464.00,4.80,6.73,289.00,0.18,0.18,2.00,0.003,0.016,1.00,0.02,1983.19,0.03,284760.00,360000.00,0.00,0.00,0.00,9.00,0.00,0.01,0.00,0.17,6084.00,500.00,40.00,1983.19,28000.00,44100.00,44100.00,4608.00,4464.00
,Bandpass,nm,197-213,197-213,197-213,197-213,197-213,197-213,197-213,180-300,197-213,197-213,197-213,115-265,115-265,101-106,68-210,135-175,175-280,100-200,150-300,180-350,350-560,560-1080,350-580,600-28500,800-1350,465-930,465-930,900-1192,950-1650,750-2420,1.6-4,101-236,199-888,101-236,101-236,100-200,100-400,90-320,115-1030,380-650,600-1800,450-700,550 - 900 ,180-300,115-265,115-265,135-175,175-280
,pixel_scale,"""/pix",1.500,1.500,1.500,1.500,1.500,1.500,1.500,2.425,1.100,1.100,1.100,1.030,1.030,45.026,148.000,1.500,1.500,0.330,0.100,0.400,0.147,0.147,0.200,0.100,0.004,0.200,0.025,0.300,0.012,6.200,8.600,0.100,0.250,1.500,0.100,0.100,0.100,0.023,0.050,0.939,0.500,0.250,0.100,1.000,1.030,1.030,1.500,1.500
Spectro design,Mode,.,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,.,"Slit:4""","Slit:6""",Fiber-IFU,"Slit:2""","Slit:2""",.,.,.,.,.,.,.,BH-Ro=4500,RM-Ro= 1400,.,HR: R=2700,LR=3500,.,.,.,.,.,.,Pinhole,Slit,Slit,MSA-MOS,PinHole,IFS,R=4000,R=30000,.,.,LR,Imager,,,,,
