Entity,democracy_eiu2024,life_expectancy_0__sex_total__age_02023,observation_value__indicator_child_mortality_rate__sex_total__wealth_quintile_total__unit_of_measure_deaths_per_100_live_births2023,sh_xpd_chex_pp_cd2022,_10_4_2__si_dst_fisp__postfiscal_disposable_income2100,_10_4_2__si_dst_fisp__prefiscal_income2100,population2100,owid_region2100,value__category_total__sex_total__age_total__unit_of_measurement_rate_per_100_000_population2023,death_rate100k__age_group_age_standardized__sex_both_sexes__cause_self_harm2021
Afghanistan,0.25,,5.5507865,,,,130216684.0,,,5.3206077
Africa,3.9166,63.8428,5.9053736,,,,3813880841.0,,,9.580948
Africa (UN),,,,,,,3813883559.0,,,
Albania,6.2,,0.9370933,,,,1184955.0,,,2.1439936
Algeria,3.55,,2.2000775,,,,64487481.0,,,2.320863
American Samoa,,,,,,,32258.0,,,
Americas,,77.2922,,,,,,,,
Americas (UN),,,,,,,1088413194.0,,,
Andorra,,,0.25775722,,,,47196.0,,,5.7425776
Angola,4.05,,6.401257,,,,150045525.0,,,14.54115
Anguilla,,,0.5765178,,,,9282.0,,,
Antigua and Barbuda,,,0.9331014,,,,67961.0,,,1.3961157
Argentina,6.51,,0.9648507,,,,38255942.0,,,7.649672
Armenia,5.35,,1.0044454,,,,1692144.0,,,1.8465055
Aruba,,,,,,,75134.0,,,
Asia,4.063404,74.5661,2.0024931,,,,4611389728.0,,,8.561336
Asia (UN),,,,,,,4612667514.0,,,
Australia,8.85,,0.3665513,,,,43143630.0,,,11.739208
Austria,8.28,,0.31263998,,,,7399285.0,,,10.149871
Azerbaijan,2.8,,1.8555621,,,,10021266.0,,,1.5656298
Bahamas,,,1.268687,,,,384900.0,,,2.907989
Bahrain,2.45,,0.8595744,,,,3090276.0,,,4.1613517
Bangladesh,4.44,,3.0556235,,,,208596461.0,,,2.8913062
Barbados,,,1.0039747,,,,194658.0,,,2.8485708
Belarus,1.99,,0.24415004,,,,4350908.0,,,11.635042
Belgium,7.64,,0.36026093,,,,11060801.0,,,14.311712
Belize,,,1.2735785,,,,447326.0,,,4.622784
Benin,4.44,,7.7902117,,,,39587520.0,,,11.8260145
Bermuda,,,,,,,35648.0,,6.243269,
Bhutan,5.65,,2.3058088,,,,690387.0,,,5.077925
Bolivia,4.26,,2.3103664,,,,17760511.0,,4.318496,5.0832105
Bonaire Sint Eustatius and Saba,,,,,,,27825.0,,,
Bosnia and Herzegovina,5.06,,0.60421085,,,,1366430.0,,,5.813208
Botswana,7.63,,3.9568217,,,,3836788.0,,,10.279892
Brazil,6.49,,1.4441526,,,,163364011.0,,,6.913922
British Virgin Islands,,,1.2732028,,,,27867.0,,,
Brunei,,,0.9390574,,,,464754.0,,,2.6806583
Bulgaria,6.34,,0.607681,,,,3531148.0,,,6.274238
Burkina Faso,2.55,,7.7272005,,,,49854188.0,,,15.367602
Burundi,2.13,,4.9207187,,,,37873909.0,,,14.746733
Cambodia,2.94,,2.2897089,,,,22738810.0,,,5.0361876
Cameroon,2.56,,6.723534,,,,88875634.0,,,13.88818
Canada,8.69,,0.5064306,6443.4224,,,53612186.0,,,8.086444
Cape Verde,7.58,,1.1589525,,,,416902.0,,,16.172796
Cayman Islands,,,,,,,117989.0,,,
Central African Republic,1.18,,9.219586,,,,18779097.0,,,19.618044
Chad,1.89,,10.1131525,,,,69546564.0,,,10.688322
Chile,7.83,,0.7164152,2755.6667,,,13430558.0,,,6.8183165
China,2.11,,0.6190351,,,,633368070.0,,,6.832197
Colombia,6.35,,1.202878,,,,47080697.0,,,4.709996
Comoros,2.84,,3.9818938,,,,1910986.0,,,8.857879
Congo,2.79,,4.0513673,,,,20025591.0,,,11.16632
Cook Islands,,,1.3642806,,,,7880.0,,,10.353421
Costa Rica,8.29,,1.0459824,,,,3776424.0,,17.382385,7.6267567
Cote d'Ivoire,4.22,,6.7128906,,,,104042769.0,,,12.6387615
